TICKER,SETOR,COTACAO_FECHAMENTO,VALOR,LIQUIDEZMEDIADIARIA,PVP,YELD,MEDIA_YIELD_12M,SOMA_YIELD_ANO_CORRENTE,RENTABILIDADE,NUMERO_COTISTA,TX_GESTAO,PATRIMONIO_LIQUIDO
STRX11,Fundo de Desenvolvimento,158.9000,158.9,1120,1.12,0.6000,0.3492,2.7600,2.3077,109,,228908886.0700
TCPF11,Misto,---,39.53,,0.3913,0.0000,0.0000,0.0000,---,52,,30034078.52
TELM11,Outros,9.9900,9.99,23451,1.0183,1.0000,1.1025,3.7100,3.6577,106,,21074797.54
TEPP11,Lajes Corporativas,88.4700,86.84,465040.72,0.9121,1.0700,1.0917,5.5200,19.0453,28705,,409172279.3700
TGAR11,Fundo de Desenvolvimento,89.9000,86,3824282.22,0.7809,1.1100,1.1850,6.0700,3.8508,162156,,2667676366.5800
TJKB11,Outros,254.1200,255.03,62938.5,0.9736,1.1400,0.8583,3.6700,-2.3813,228,,263516547.26
TMPS11,Fundo de Fundos,82.0000,81.05,268014.94,0.8671,1.0000,1.3092,6.3900,13.5998,2007,,90314854.26
TOPP11,Imóveis Comerciais - Outros,70.1600,75.43,469593.5,0.7568,1.2000,1.1750,4.8700,12.4613,4810,,445025084.4
TORD11,Misto,0.8600,0.62,26830.89,0.1066,0.5700,0.5700,0.5700,-84.1593,70061,,488775081.2500
TRBL11,Imóveis Industriais e Logísticos,64.9700,60.2,427998.33,0.6591,0.8900,0.9433,4.7900,0.4455,51988,,738556983.79
TRNT11,Lajes Corporativas,112.6800,94,13694.94,0.5381,0.0600,0.0600,0.7100,---,559,,777840917.5300
TRXB11,Fundo de Desenvolvimento,123.9600,127.97,7781857.22,1.1819,0.8100,1.4725,8.6900,12.0143,427,,361637752.25
TRXF11,Imóveis Comerciais - Outros,104.2000,101.45,7365491.61,1.0317,0.8900,1.0925,6.2500,14.6611,184018,,2028989060.8600
TRXY11,Outros,9.4500,9.46,552840.39,1,1.1600,1.6000,6.4000,5.2264,517,,33515353.68
TSER11,Lajes Corporativas,101.0000,102,10.1,1.0141,0.9800,0.7350,4.9700,6.1205,21,,137921364.67
TVRI11,Agências de Bancos,89.4900,89.12,1272581.94,0.8741,1.1500,1.1192,5.9400,11.7522,63030,,1613512314.92
URHF11,Outros,90.0000,90,2039.56,0.9449,1.4400,1.6422,7.3500,3.8647,1,,10517411.6
URPR11,Papéis,54.3900,48.86,1437043.11,0.5159,1.2700,1.4067,7.1600,2.8664,73754,,1166791783.3300
VANG11,Outros,98.8700,98.87,31681.35,0,1.0100,0.9886,3.9700,2.1593,0,,0
VCJR11,Papéis,85.9900,84.64,1356927.94,0.9104,1.7400,1.1808,6.9400,19.5031,31687,,1365044634.3000
VCRA11,Outros,69.0000,67.71,695208.5,0.6644,1.4500,1.5483,8.0000,20.3662,10935,,474711168.3900
VCRI11,Papéis,7.2700,7.14,140628.22,0.7572,1.3800,1.2717,6.4100,11.0043,10470,,166224347.3900
VCRR11,Imóveis Residenciais,60.4800,60.98,218386.67,0.4703,0.8300,0.9558,4.5300,5.0818,3912,,255218435.1900
VGHF11,Misto,7.7800,7.58,2916674.56,0.9088,1.1600,1.1750,6.1400,12.2057,1,,1390902704.2100
VGIA11,Outros,8.5900,8.91,1617741.72,0.9294,1.3400,1.4958,5.7400,25.0863,168730,,832994031.8800
VGII11,Tecidos. Vestuário e Calçados,90.4700,101.41,369002,1.105,5.3300,0.8025,5.3300,5.3300,3,,47616218.78
VGIP11,Papéis,78.5400,83.83,1316953.22,0.9459,0.9200,1.0992,4.4300,20.0839,85070,,1046074766.2800
VGIR11,Papéis,9.3700,9.5,8111822.17,0.9672,1.2800,1.2117,4.9600,19.0262,248586,,1423918121.4600
VGRI11,Misto,8.0500,7.83,573766.22,0.736,1.4900,1.9033,9.5100,18.5656,12026,,368798857.47
VIDS11,Fundo de Desenvolvimento,---,915.64,,1.0192,0.0000,0.0000,0.0000,---,199,,84989327.68
VIFI11,Fundo de Fundos,6.9600,6.96,30.26,0.8733,1.0100,0.8242,3.0000,5.1450,5521,,64507809.2400
VIGT11,Outros,34.8600,35.7,325239.39,0,0.4300,0.6700,1.6500,-37.7390,0,,0
VILG11,Imóveis Industriais e Logísticos,88.1600,86.08,1673256.06,0.7666,0.7700,0.8150,4.2500,24.1844,146948,,1690328197.7200
VINO11,Lajes Corporativas,5.2200,5.03,589633.39,0.4995,0.9600,0.9867,5.1000,15.6148,150897,,852283536.0700
VISC11,Shoppings,107.2700,103.2,3842378.33,0.8354,0.7500,0.8133,4.0500,19.7570,345960,,3593464259.5700
VIUR11,Misto,5.7300,5.66,183886.94,0.6459,1.1700,1.2092,6.3000,10.7113,46647,,237334327.6600
VJFD11,Papéis,155.0200,155.02,3889.59,0.9467,0.4800,0.2817,2.4200,2.4435,98,,798414875.9100
VLIQ11,Outros,---,0,,0,0.0000,0.0000,0.0000,---,8102,,118155565.38
VLOL11,Lajes Corporativas,---,98,160238.13,1.5358,0.0000,0.0000,1.9900,---,8102,,198219080.1500
VOTS11,Papéis,75.5800,72,5284.06,0.7765,0.7900,0.9642,4.6500,13.4087,631,,78321826.8100
VPPR11,Lajes Corporativas,13.1300,13.1,336848.67,0.329,0.5300,0.2875,0.5300,-10.2679,40224,,291355856.56
VRTA11,Papéis,84.0100,82.04,1321077.83,0.9477,1.0100,1.0650,5.3800,16.4932,114786,,1361249999.9900
VRTM11,Misto,7.2500,7.02,452571.17,0.7637,1.2400,1.2100,6.7800,13.5439,11795,,437503419.01
VSEC11,Papéis,---,0.21,2.5,0.0033,0.0000,0.0000,138.0000,---,8102,,118155565.38
VSHO11,Shoppings,70.9900,70.55,43187.89,0.6796,0.8500,0.9692,4.8600,13.4577,3388,,218330777.4000
VSLH11,Papéis,2.7500,2.69,143242.22,0.2699,1.0900,1.2125,4.2600,-8.9195,71833,,296531788.5000
VTLT11,Imóveis Industriais e Logísticos,88.9800,88.53,72687.22,0.8386,1.0900,1.1108,5.7700,10.4347,5886,,221797370.6700
VTPL11,Papéis,---,72.1,1273.17,0.7156,0.0000,0.0000,0.0000,---,124,,139680292.81
VVCO11,Lajes Corporativas,---,13.87,1679526.33,0.9592,0.0000,0.0000,0.0000,---,2814,,143267437.61
VVCR11,Papéis,9.9400,10.11,5458.33,0.9798,1.1100,1.0167,4.7100,16.5157,2270,,77976201.07
VVMR11,Lajes Corporativas,80.8700,81.89,1045361.44,0.7624,0.1600,0.6475,0.5400,-10.6511,673,,312454335.77
VVPR11,Misto,99.9000,101.5,1249061.55,1.5907,0.8900,0.0000,7.4500,14.4394,8102,,226032234.1800
VVRI11,Outros,74.5100,85,153443.72,0.8919,0.6600,0.7908,2.7800,-20.0582,174,,76493456.88
VXXV11,Fundo de Desenvolvimento,---,700,1666661.11,1.0144,0.0000,0.0000,0.0000,---,14,,190773006.24
